Name,NumberOfLinesAdded,NumberOfLinesRemoved,ChangedByNCommitsInCurrentVersion,ChangedByNCommitsInCurrentVersionAndPreviousVersions,BugsFixedInNCommits,AuthorsInCurrentVersion,AuthorsInCurrentAndPreviousVersions,AuthorsAvgExpertise,AuthorsMinExpertise,AvgCommitTimeForCurrentVersion,AvgCommitTimeForCurrentVersionAndPreviousVersions,ChangedComments,UnchangedComments
MiniLlapCluster.java,0,32,3,23,1,3,23,534,349,34,32,6,2
TestLowLevelCacheImpl.java,0,0,3,27,1,3,27,704,704,122,30,1,1
TestOrcMetadataCache.java,0,0,3,13,1,3,13,704,704,126,61,0,2
TestBuddyAllocator.java,0,0,4,22,1,4,22,406,109,100,37,0,2
TestLowLevelLrfuCachePolicy.java,7,0,2,16,1,2,16,704,704,246,52,3,0
TestIncrementalObjectSizeEstimator.java,12,0,1,11,0,1,11,107,107,0,80,0,1
TestLlapSignerImpl.java,0,0,4,8,0,4,8,704,704,24,36,0,0
TestTaskExecutorService.java,76,0,4,25,0,4,25,426,225,93,29,8,2
TaskExecutorTestHelpers.java,48,0,13,32,1,13,32,268,16,32,21,0,8
TestEvictingPriorityBlockingQueue.java,8,0,2,3,0,2,3,120,16,132,66,26,1
TestLlapTokenChecker.java,0,0,2,5,0,2,5,704,704,56,21,0,0
TestLlapDaemonProtocolServerImpl.java,0,0,3,19,0,3,19,464,225,74,36,0,1
TestLlapWebServices.java,0,0,1,2,0,1,2,12,12,0,0,12,0
TestShortestJobFirstComparator.java,19,0,5,10,0,5,10,160,16,81,74,5,1
TestFirstInFirstOutComparator.java,17,0,7,16,1,7,16,248,16,64,44,2,2
IncrementalObjectSizeEstimator.java,0,0,1,8,0,1,8,704,704,0,96,0,1
LlapDaemonConfiguration.java,0,0,1,11,0,1,11,16,16,0,80,0,1
LlapServiceDriver.java,86,0,14,61,1,14,61,533,109,31,14,61,4
LlapStatusServiceDriver.java,0,11,10,20,1,10,20,426,225,25,16,36,5
LlapStatusOptionsProcessor.java,0,0,3,8,1,3,8,287,225,107,41,0,2
LlapOptionsProcessor.java,30,0,5,25,0,5,25,464,225,57,30,2,3
LlapSliderUtils.java,188,0,1,1,0,1,1,704,704,0,0,22,0
ShuffleHandler.java,0,3,2,15,0,2,15,627,550,69,52,0,2
HistoryLogger.java,0,0,1,5,1,1,5,225,225,0,180,0,1
SchedulerFragmentCompletingListener.java,0,0,1,2,0,1,2,225,225,0,0,16,0
EvictionDispatcher.java,0,0,3,8,0,3,8,704,704,74,98,2,1
LowLevelCache.java,0,0,1,21,0,1,21,704,704,0,30,0,0
MemoryManager.java,0,0,4,21,1,4,21,406,107,84,77,83,2
SimpleAllocator.java,1,0,2,4,0,2,4,704,704,203,146,1,0
LowLevelCacheImpl.java,0,0,5,48,0,5,48,704,704,42,18,23,2
LowLevelLrfuCachePolicy.java,1,0,4,28,1,4,28,704,704,86,30,0,3
FileCacheCleanupThread.java,0,0,1,2,0,1,2,704,704,0,0,23,0
SerDeLowLevelCacheImpl.java,0,25,4,8,0,4,8,704,704,20,18,92,0
LlapDataBuffer.java,0,0,1,8,0,1,8,704,704,0,97,0,1
LowLevelCacheMemoryManager.java,10,0,4,21,1,4,21,704,704,86,37,1,2
SimpleBufferManager.java,0,0,1,4,0,1,4,704,704,0,78,0,0
LowLevelCachePolicy.java,0,0,2,10,1,2,10,704,704,246,88,0,1
FileCache.java,0,0,1,2,0,1,2,704,704,0,0,26,0
LowLevelFifoCachePolicy.java,2,0,3,16,1,3,16,704,704,129,54,1,1
BuddyAllocator.java,52,0,8,38,1,8,38,276,16,48,22,12,1
LlapUgiFactoryFactory.java,0,0,1,2,0,1,2,704,704,0,0,0,0
