key,priority,filename
HIVE-13032,Blocker,RELEASE_NOTES.txt
HIVE-13032,Blocker,bin/ext/schemaTool.sh
HIVE-13032,Blocker,bin/hive
HIVE-13024,Blocker,bin/ext/cli.sh
HIVE-13024,Blocker,bin/ext/schemaTool.sh
HIVE-12947,Critical,itests/src/test/resources/testconfiguration.properties
HIVE-12947,Critical,ql/src/java/org/apache/hadoop/hive/ql/exec/CommonMergeJoinOperator.java
HIVE-12947,Critical,ql/src/java/org/apache/hadoop/hive/ql/exec/tez/MapRecordProcessor.java
HIVE-12947,Critical,ql/src/test/queries/clientpositive/smb_cache.q
HIVE-12947,Critical,ql/src/test/results/clientpositive/tez/smb_cache.q.out
HIVE-12964,Major,service/src/java/org/apache/hive/service/cli/operation/LogDivertAppender.java
HIVE-12931,Major,llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/ContainerRunnerImpl.java
HIVE-12931,Major,llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/QueryTracker.java
HIVE-12931,Major,llap-server/src/java/org/apache/hadoop/hive/llap/shufflehandler/ShuffleHandler.java
HIVE-12945,Critical,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java
HIVE-12945,Critical,itests/src/test/resources/testconfiguration.properties
HIVE-12945,Critical,ql/src/java/org/apache/hadoop/hive/ql/optimizer/FixedBucketPruningOptimizer.java
HIVE-12945,Critical,ql/src/java/org/apache/hadoop/hive/ql/optimizer/Optimizer.java
HIVE-12945,Critical,ql/src/test/queries/clientpositive/bucketpruning1.q
HIVE-12945,Critical,ql/src/test/results/clientpositive/tez/bucketpruning1.q.out
HIVE-12893,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/BucketingSortingReduceSinkOptimizer.java
HIVE-12893,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/Optimizer.java
HIVE-12893,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/SortedDynPartitionOptimizer.java
HIVE-12893,Major,ql/src/java/org/apache/hadoop/hive/ql/parse/ParseContext.java
HIVE-12893,Major,ql/src/test/queries/clientpositive/dynpart_sort_optimization.q
HIVE-12893,Major,ql/src/test/results/clientpositive/dynpart_sort_optimization.q.out
HIVE-12893,Major,ql/src/test/results/clientpositive/llap/dynpart_sort_optimization2.q.out
HIVE-12893,Major,ql/src/test/results/clientpositive/tez/dynpart_sort_optimization.q.out
HIVE-12685,Major,common/src/test/org/apache/hadoop/hive/conf/TestHiveConf.java
HIVE-12685,Major,common/src/test/resources/hive-site.xml
HIVE-12685,Major,data/conf/hive-site.xml
HIVE-12926,Critical,ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezSessionPoolManager.java
HIVE-12905,Blocker,itests/src/test/resources/testconfiguration.properties
HIVE-12905,Blocker,ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/HashMapWrapper.java
